img_path,label
dataset/classification/train_unlabelled/0.png,0
dataset/classification/train_unlabelled/1.png,0
dataset/classification/train_unlabelled/10.png,0
dataset/classification/train_unlabelled/100.png,0
dataset/classification/train_unlabelled/1000.png,0
dataset/classification/train_unlabelled/1001.png,0
dataset/classification/train_unlabelled/1002.png,0
dataset/classification/train_unlabelled/1003.png,0
dataset/classification/train_unlabelled/1004.png,0
dataset/classification/train_unlabelled/1005.png,0
dataset/classification/train_unlabelled/1006.png,0
dataset/classification/train_unlabelled/1007.png,0
dataset/classification/train_unlabelled/1008.png,0
dataset/classification/train_unlabelled/1009.png,0
dataset/classification/train_unlabelled/101.png,0
dataset/classification/train_unlabelled/1010.png,0
dataset/classification/train_unlabelled/1011.png,0
dataset/classification/train_unlabelled/1012.png,0
dataset/classification/train_unlabelled/1013.png,0
dataset/classification/train_unlabelled/1014.png,1
dataset/classification/train_unlabelled/1015.png,0
dataset/classification/train_unlabelled/1016.png,0
dataset/classification/train_unlabelled/1017.png,0
dataset/classification/train_unlabelled/1018.png,0
dataset/classification/train_unlabelled/1019.png,0
dataset/classification/train_unlabelled/102.png,0
dataset/classification/train_unlabelled/1020.png,0
dataset/classification/train_unlabelled/1021.png,1
dataset/classification/train_unlabelled/1022.png,0
dataset/classification/train_unlabelled/1023.png,0
dataset/classification/train_unlabelled/1024.png,1
dataset/classification/train_unlabelled/1025.png,0
dataset/classification/train_unlabelled/1026.png,0
dataset/classification/train_unlabelled/1027.png,0
dataset/classification/train_unlabelled/1028.png,0
dataset/classification/train_unlabelled/1029.png,1
dataset/classification/train_unlabelled/103.png,0
dataset/classification/train_unlabelled/1030.png,0
dataset/classification/train_unlabelled/1031.png,0
dataset/classification/train_unlabelled/1032.png,0
dataset/classification/train_unlabelled/1033.png,0
dataset/classification/train_unlabelled/1034.png,0
dataset/classification/train_unlabelled/1035.png,0
dataset/classification/train_unlabelled/1036.png,0
dataset/classification/train_unlabelled/1037.png,0
dataset/classification/train_unlabelled/1038.png,0
dataset/classification/train_unlabelled/1039.png,0
dataset/classification/train_unlabelled/104.png,0
dataset/classification/train_unlabelled/1040.png,1
dataset/classification/train_unlabelled/1041.png,0
dataset/classification/train_unlabelled/1042.png,0
dataset/classification/train_unlabelled/1043.png,0
dataset/classification/train_unlabelled/1044.png,0
dataset/classification/train_unlabelled/1045.png,0
dataset/classification/train_unlabelled/1046.png,1
dataset/classification/train_unlabelled/1047.png,0
dataset/classification/train_unlabelled/1048.png,0
dataset/classification/train_unlabelled/1049.png,0
dataset/classification/train_unlabelled/105.png,0
dataset/classification/train_unlabelled/1050.png,0
dataset/classification/train_unlabelled/1051.png,0
dataset/classification/train_unlabelled/1052.png,0
dataset/classification/train_unlabelled/1053.png,0
dataset/classification/train_unlabelled/1054.png,0
dataset/classification/train_unlabelled/1055.png,0
dataset/classification/train_unlabelled/1056.png,0
dataset/classification/train_unlabelled/1057.png,0
dataset/classification/train_unlabelled/1058.png,0
dataset/classification/train_unlabelled/1059.png,0
dataset/classification/train_unlabelled/106.png,0
dataset/classification/train_unlabelled/1060.png,0
dataset/classification/train_unlabelled/1061.png,0
dataset/classification/train_unlabelled/1062.png,0
dataset/classification/train_unlabelled/1063.png,0
dataset/classification/train_unlabelled/1064.png,1
dataset/classification/train_unlabelled/1065.png,0
dataset/classification/train_unlabelled/1066.png,0
dataset/classification/train_unlabelled/1067.png,0
dataset/classification/train_unlabelled/1068.png,1
dataset/classification/train_unlabelled/1069.png,0
dataset/classification/train_unlabelled/107.png,0
dataset/classification/train_unlabelled/1070.png,0
dataset/classification/train_unlabelled/1071.png,1
dataset/classification/train_unlabelled/1072.png,0
dataset/classification/train_unlabelled/1073.png,0
dataset/classification/train_unlabelled/1074.png,0
dataset/classification/train_unlabelled/1075.png,0
dataset/classification/train_unlabelled/1076.png,0
dataset/classification/train_unlabelled/1077.png,0
dataset/classification/train_unlabelled/1078.png,0
dataset/classification/train_unlabelled/1079.png,0
dataset/classification/train_unlabelled/108.png,0
dataset/classification/train_unlabelled/1080.png,0
dataset/classification/train_unlabelled/1081.png,0
dataset/classification/train_unlabelled/1082.png,0
dataset/classification/train_unlabelled/1083.png,0
dataset/classification/train_unlabelled/1084.png,0
dataset/classification/train_unlabelled/1085.png,0
dataset/classification/train_unlabelled/1086.png,0
dataset/classification/train_unlabelled/1087.png,0
dataset/classification/train_unlabelled/1088.png,0
dataset/classification/train_unlabelled/1089.png,0
dataset/classification/train_unlabelled/109.png,0
dataset/classification/train_unlabelled/1090.png,0
dataset/classification/train_unlabelled/1091.png,0
dataset/classification/train_unlabelled/1092.png,0
dataset/classification/train_unlabelled/1093.png,0
dataset/classification/train_unlabelled/1094.png,0
dataset/classification/train_unlabelled/1095.png,0
dataset/classification/train_unlabelled/1096.png,0
dataset/classification/train_unlabelled/1097.png,0
dataset/classification/train_unlabelled/1098.png,0
dataset/classification/train_unlabelled/1099.png,0
dataset/classification/train_unlabelled/11.png,0
dataset/classification/train_unlabelled/110.png,0
